NOME,RESUMO,MINISTRANTE,MINI CURRICULO MINISTRANTE
Introdução à otimização multiobjetivo,"A otimização é um campo fundamental da Matemática que estuda problemas reais cujo objetivo é maximizar ou minimizar uma função, sujeita a restrições sobre as variáveis de decisão. Mas o que acontece quando as decisões envolvem múltiplos objetivos conflitantes? Como maximizar o lucro e, ao mesmo tempo, reduzir o impacto ambiental? Ou equilibrar risco e retorno em finanças? Surge, nesses cenários, a otimização multiobjetivo, na qual a presença de objetivos conflitantes impede a existência de uma solução única que otimize simultaneamente todos os critérios. Este minicurso introduz os fundamentos teóricos e práticos dessa área, essencial para a tomada de decisões em problemas complexos. Serão apresentados conceitos centrais, como soluções de Pareto, soluções de Pareto fracas e a fronteira de Pareto. Em seguida, serão discutidos métodos de escalarização, que transformam um problema multiobjetivo em problemas escalares, viabilizando a construção da fronteira de Pareto, ferramenta fundamental para a escolha de soluções em problemas com critérios conflitantes.  Palavras-chave: Otimização Multiobjetivo; Fronteira de Pareto; Escalarização.  ",Profª. Ana Paula Chorobura,"Doutora em Matemática e professora da Universidade Federal de Mato Grosso do Sul (UFMS). Atua no ensino, na pesquisa e na extensão universitária na área de Matemática, com foco no desenvolvimento acadêmico e na formação de alunos de graduação e pós-graduação."
Afetividade e Educação Digital: construindo relações de aprendizagem em tempos de tecnologias ,,Dra. Viviane Aparecida Ferreira Favareto Cacheffo,"Doutora e professora da Universidade Federal de Mato Grosso do Sul (UFMS - CPPP). Atua na área de Educação, com ênfase em Gestão Escolar, Literatura, Diversidade e Infâncias, dedicando-se ao ensino, à pesquisa e à coordenação de projetos de formação docente."
